"","library_name","state","type_of_elimination","fine_free_date","official_policy_link","library_url"
"190","Multnomah County Library","OR","Children Only",2016-06-15,"https://multcolib.org/manage-my-account/fines-and-charges","https://multcolib.org/"
"191","Goodwin Memorial Library","MA","No Fines",2016-06-01,"https://www.hadleyma.org/library/pages/lending-policy","https://www.hadleyma.org/library"
"192","Vernon Area Public Library","IL","Everyone",2015-08-12,"https://www.vapld.info/loan-rules.html","https://www.vapld.info/"
"193","Gadsen Public Library","AL","Everyone",2015-08-01,NA,"https://gadsdenlibrary.org/"
"194","High Plains Public Library system","CO","Everyone",2015-07-01,"https://www.mylibrary.us/my_library_card/#1485726751739-3da0b1db-65aa","https://www.mylibrary.us/"
"195","San Rafael Public Library","CA","Children Only",2015-04-07,"https://srpubliclibrary.org/services/checkout-limits/","https://srpubliclibrary.org/"
"196","Orange Beach Public Library","AL","Everyone",2015-04-01,NA,"https://www.orangebeachlibrary.org/"
"197","Macedon Public Library","NY","Everyone",2015-01-01,NA,"https://macedonpubliclibrary.org"
"198","Algonquin Area Public Library District","IL","Everyone",2014-09-15,NA,"https://www.aapld.org/"
"199","Stark County District Library","OH","Everyone",2014-09-02,"https://starklibrary.org/home/about/policies-and-procedures/borrowing-privileges-policy/","https://starklibrary.org/"
"200","ImagineIF Library","MT","Everyone",2014-01-13,NA,"https://imagineiflibraries.org/"
"201","New London Public Library","OH","Everyone",2013-12-01,"https://newlondonpubliclibrary.org/circulation-policy","https://newlondonpubliclibrary.org/"
"202","Griffin Free Public Library","NH","No Fines",2013-11-01,"https://griffinfree.org/about-us/circulation-policy/","https://griffinfree.org"
"203","Free Library of Philadelphia","PA","Children Only",2013-07-16,"https://know.freelibrary.org/MyResearch/register/card","https://www.freelibrary.org/"
"204","Bellingham Public Library","WA","Children and Teens Only",2013-01-01,"https://www.bellinghampubliclibrary.org/using-the-library/fines-fees","https://www.bellinghampubliclibrary.org/"
"205","Whatcom County Library System","WA","Children and Teens Only",2013-01-01,"https://www.wcls.org/wp-content/uploads/2019/02/4.01-Borrowers-Policy-Attachment-A-Fines-08-15-17.pdf","https://www.wcls.org/"
"206","DC Public Library","DC","Everyone",2012-04-06,"https://www.dclibrary.org/borrowingmaterials","https://www.dclibrary.org/"
"207","Monona Public Library","WI","No Fines",2012-01-02,"http://mymonona.com/DocumentCenter/View/9023/Library-Card-Use-Policy","http://mymonona.com/131/Library"
"208","Putney Public Library","VT","No Fines",2010-12-15,NA,"www.putneylibrary.org"
"209","Charlestown Clark County Public Library","IN","No Fines",2003-01-01,"http://clarkco.lib.in.us/contentpages.asp?loc=76","http://clarkco.lib.in.us/"
"210","Middleton Public Library","WI","No Fines",1999-10-01,"https://www.midlibrary.org/Portals/0/publicdocs/policies/Circulation%20Policy.pdf","https://www.midlibrary.org/"
"211","Memorial Hall Library","MA","No Fines",1969-03-31,"https://mhl.org/library-cards-and-borrowing-privileges","mhl.org"
